,fold,acc,loss,precision,recall,f1-score,auc,TP,FN,FP,TN
0,1,0.5782,0.66089094,0.7270176530307406,0.5879608194223775,0.5074495626250206,0.5879608194223775,2393,2064,45,498
1,2,0.6506,0.6379037,0.7306290513355929,0.6576756968605971,0.6233448572127736,0.6576756968605971,2299,1608,139,954
2,3,0.6476,0.6381305,0.7349844599844599,0.6549368923862933,0.6177143780529695,0.6549368923862933,2318,1642,120,920
3,4,0.6722,0.63306147,0.726664498211534,0.6780581528863512,0.655622941958367,0.6780581528863512,2229,1430,209,1132
4,5,0.6756,0.6302805,0.736402754446311,0.6816835826706857,0.6577457744052584,0.6816835826706857,2260,1444,178,1118
5,6,0.7098,0.6206036,0.7457333718726917,0.7143710467686046,0.701515392569383,0.7143710467686045,2191,1204,247,1358
6,7,0.6892,0.62713194,0.7362516176397391,0.6945375683860602,0.6765182203089937,0.6945375683860602,2218,1334,220,1228
7,8,0.7228,0.6167702,0.7514139332044326,0.7268281483843824,0.7168969156715572,0.7268281483843823,2168,1116,270,1446
8,9,0.6834,0.62789387,0.7388020579133202,0.6891757106290654,0.6679358941328448,0.6891757106290654,2248,1393,190,1169
9,10,0.6928,0.626437,0.7360050584540101,0.6979114834787987,0.6814449656358756,0.6979114834787988,2204,1302,234,1260
